legacy_db,legacy_table,family,target_entity,target_table,legacy_column_count,primary_key_columns,foreign_key_count
02-administrativo-evaluador,ctg_productos_ec_productos,ctg_productos_{tipo}_productos,product,product,16,adm_ecpro_idr|adm_ecpro_numreg|adm_ecpro_tpr_id|adm_ecpro_id|adm_ecpro_tpo,1
02-administrativo-evaluador,ctg_productos_ec_public_files,ctg_productos_{tipo}_public_files,product,product,15,adm_ecpub_idr|adm_ecpub_numsol|adm_ecpub_tpr_id|adm_ecpub_tpt_id|adm_ecpub_id,3
02-administrativo-evaluador,ctg_productos_ec_reg,ctg_productos_{tipo}_reg,product,product,5,adm_ec_id|adm_ec_tpr_id,1
02-administrativo-evaluador,ctg_productos_ec_tramite,ctg_productos_{tipo}_tramite,product,product,63,adm_ec_tpt_idr|adm_ec_tpt_id|adm_ec_tpr_id,1
02-administrativo-evaluador,ctg_productos_ef,ctg_productos_{tipo},product,product,146,adm_ef_id|adm_ef_tpr_id,1
02-administrativo-evaluador,ctg_productos_ef_CPC,ctg_productos_{tipo}_cpc,product,product,16,adm_efCPC_id|adm_efCPC_tpr_id,1
02-administrativo-evaluador,ctg_productos_ef_DOCs,ctg_productos_{tipo}_docs,product,product,15,adm_efDOC_idr|adm_efDOC_tpt_id|adm_efDOC_tpr_id|adm_efDOC_ttc_id|adm_efDOC_numsol|adm_efDOC_id|adm_efDOC_part,4
02-administrativo-evaluador,ctg_productos_ef_EMPRESAS,ctg_productos_{tipo}_empresas,product,product,84,adm_efEMP_id|adm_efEMP_tpr_id|adm_efEMP_rif|adm_efEMP_rol_id,4
02-administrativo-evaluador,ctg_productos_ef_EMPRESASreg,ctg_productos_{tipo}_empresasreg,product,product,108,adm_efEMPreg_id|adm_efEMPreg_tpt_id|adm_efEMPreg_tpr_id|adm_efEMPreg_rif|adm_efEMPreg_rol_id|adm_efEMPreg_nombre,1
02-administrativo-evaluador,ctg_productos_ef_FIT,ctg_productos_{tipo}_fit,product,product,33,adm_efFIT_id|adm_efFIT_tpr_id|adm_efFIT_tipo,1
02-administrativo-evaluador,ctg_productos_ef_SEC,ctg_productos_{tipo}_sec,product,product,12,adm_efSEC_id|adm_efSEC_tpr_id|adm_efSEC_tipo|adm_efSEC_ctg_id|adm_efSEC_ctg_id_tpo,5
02-administrativo-evaluador,ctg_productos_ef_SECinf,ctg_productos_{tipo}_secinf,product,product,12,adm_efSECi_idr|adm_efSECi_tpr_id|adm_efSECi_sec|adm_efSECi_tipo|adm_efSECi_id,1
02-administrativo-evaluador,ctg_productos_ef_files,ctg_productos_{tipo}_files,product,product,13,adm_effil_idr|adm_effil_numsol|adm_effil_tpr_id|adm_effil_tpt_id|adm_effil_id,3
02-administrativo-evaluador,ctg_productos_ef_formula,ctg_productos_{tipo}_formula,product,product,23,adm_efFOR_idr|adm_efFOR_tpr_id|adm_efFOR_id|adm_efFOR_sus_id|adm_efFOR_tipo,3
02-administrativo-evaluador,ctg_productos_ef_formulareg,ctg_productos_{tipo}_formulareg,product,product,23,adm_efFOR_idr|adm_efFOR_tpr_id|adm_efFOR_id|adm_efFOR_sus_nom|adm_efFOR_tipo,2
02-administrativo-evaluador,ctg_productos_ef_historia,ctg_productos_{tipo}_historia,product,product,13,adm_efHIS_id|adm_efHIS_tpr_id|adm_efHIS_tipo|adm_efHIS_fecha,1
02-administrativo-evaluador,ctg_productos_ef_mensajes,ctg_productos_{tipo}_mensajes,product,product,13,adm_efmsg_idr|adm_efmsg_tpt_id|adm_efmsg_tpr_id|adm_efmsg_tipo|adm_efmsg_id,1
02-administrativo-evaluador,ctg_productos_ef_public_files,ctg_productos_{tipo}_public_files,product,product,15,adm_efpub_idr|adm_efpub_numsol|adm_efpub_tpr_id|adm_efpub_tpt_id|adm_efpub_id,3
02-administrativo-evaluador,ctg_productos_ef_reg,ctg_productos_{tipo}_reg,product,product,5,adm_ef_id|adm_ef_tpr_id,1
02-administrativo-evaluador,ctg_productos_ef_tramite,ctg_productos_{tipo}_tramite,product,product,63,adm_ef_tpt_idr|adm_ef_tpt_id|adm_ef_tpr_id,1
02-administrativo-evaluador,ctg_productos_efh,ctg_productos_{tipo}h,product,product,137,adm_ef_id|adm_ef_tpr_id,1
02-administrativo-evaluador,ctg_productos_efh_EMPRESAS,ctg_productos_{tipo}h_empresas,product,product,83,adm_efEMP_id|adm_efEMP_tpr_id|adm_efEMP_rif|adm_efEMP_rol_id,4
02-administrativo-evaluador,ctg_productos_fv,ctg_productos_{tipo},product,product,51,adm_fv_id|adm_fv_tpr_id,1
02-administrativo-evaluador,ctg_productos_fv_DOCs,ctg_productos_{tipo}_docs,product,product,15,adm_fvDOC_idr|adm_fvDOC_tpt_id|adm_fvDOC_tpr_id|adm_fvDOC_ttc_id|adm_fvDOC_numsol|adm_fvDOC_id|adm_fvDOC_part,4
02-administrativo-evaluador,ctg_productos_fv_EMPRESAS,ctg_productos_{tipo}_empresas,product,product,84,adm_fvEMP_id|adm_fvEMP_tpr_id|adm_fvEMP_rif|adm_fvEMP_rol_id,4
02-administrativo-evaluador,ctg_productos_fv_EMPRESASreg,ctg_productos_{tipo}_empresasreg,product,product,108,adm_fvEMPreg_id|adm_fvEMPreg_tpt_id|adm_fvEMPreg_tpr_id|adm_fvEMPreg_rif|adm_fvEMPreg_rol_id|adm_fvEMPreg_nombre,1
